,PL1_1,PL1_2,PL1_3,PL2_2,PL2_3,PL2_1,DIFF_cls,DIFF_pts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
60511,0.0,0.0,0.0,0.0,0.0,1.0,0.20074834405507816,-0.9513264233011196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6729,1.0,1.0,1.0,0.0,0.0,0.0,0.06890040383075229,0.4396281198588507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55075,1.0,1.0,0.0,0.0,0.0,0.0,-0.20021226304536477,-0.7116930628862542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22039,1.0,1.0,0.0,0.0,0.0,0.0,-0.16161443034600137,0.18377896813771627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22017,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,1.079250999161687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55253,0.0,0.0,0.0,0.0,0.0,1.0,0.14767632409345346,0.5837684870256871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50182,0.0,0.0,0.0,0.0,0.0,1.0,0.008831342577687895,0.4558439111651198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29211,1.0,1.0,0.0,0.0,0.0,0.0,-0.3894488594741881,-0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59755,1.0,1.0,0.0,0.0,0.0,0.0,-0.3899849404839015,1.079250999161687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35251,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26434,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35062,1.0,0.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65356,0.0,0.0,0.0,0.0,0.0,1.0,0.21415036929791267,-0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28433,1.0,1.0,0.0,0.0,0.0,0.0,-0.03938796013135059,-1.223391366328523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,1.0,1.0,0.0,0.0,0.0,0.0,-1.189281725966552,0.4396281198588507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59373,0.0,0.0,0.0,0.0,0.0,1.0,0.18198550871510982,-0.6954772715799851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15059,1.0,1.0,0.0,0.0,0.0,0.0,0.03191081416052903,-0.4558439111651198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10425,0.0,0.0,0.0,1.0,0.0,1.0,0.508994924640272,0.4558439111651198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28977,0.0,0.0,0.0,0.0,0.0,1.0,0.1525010531808739,-1.4630247267433885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56893,1.0,1.0,1.0,0.0,0.0,0.0,0.08123026705416005,0.05585439227714905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62440,1.0,1.0,0.0,0.0,0.0,0.0,-0.12516092168549148,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4517,1.0,1.0,0.0,1.0,0.0,0.0,-0.17072780751112884,-0.4558439111651198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
